sscl1,sscl2,n,a,b,c1,c2,astar,bstar,cstar1,cstar2
CDEK/AL,IK/GL,1,True,True,True,True,True,True,True,True
CDEK/AL,FHIJK/GL,1,True,True,True,True,True,True,True,True
CDEKL/A,GHIKL/FJ,1,True,True,False,False,True,True,True,True
ACDEKL/,GHKL/FIJ,1,False,True,False,False,True,True,True,True
CK/ADEL,FH/GL,1,True,True,True,True,True,True,True,False
A/CDEKL,H/GKL,3,True,True,True,True,True,True,False,False
ADEL/CK,FGHL/IJK,1,True,True,True,True,True,True,True,True
ADEL/CK,FGHL/K,1,True,False,True,True,True,True,True,True
CDEKL/A,FGHKL/IJ,1,True,True,False,False,True,True,True,True
AL/CDEK,GHL/IK,1,True,True,True,True,True,True,True,True
CK/ADEL,IJK/GL,1,True,True,True,True,True,True,True,True
CDEK/AL,IJK/FGHL,1,True,True,True,True,True,True,True,True
CDEK/AL,FJ/GHL,1,True,True,True,True,True,True,True,False
CDEK/AL,IK/FGHJL,1,True,True,True,True,True,True,True,True
CK/ADEL,K/GHL,1,True,True,True,True,True,False,True,True
CDEKL/A,GKL/FH,1,True,True,False,False,True,True,True,True
CK/ADEL,IK/FGHJL,1,True,True,True,True,True,True,True,True
ACDEKL/,GKL/FHJ,1,False,True,False,False,True,True,True,True
A/CDEKL,/FGHIJKL,1,True,True,True,True,True,False,False,False
AL/CDEK,GHL/FIJK,1,True,True,True,True,True,True,True,True
AL/CDEK,GHL/K,1,True,False,True,True,True,True,True,True
CDEKL/A,FGHIKL/J,1,True,True,False,False,True,True,True,True
CK/ADEL,K/FGHIJL,1,True,True,True,True,True,False,True,True
CDEKL/A,GIJKL/FH,1,True,True,False,False,True,True,True,True
AL/CDEK,GL/IJK,1,True,True,True,True,True,True,True,True
AL/CDEK,GL/IK,1,True,True,True,True,True,True,True,True
CDEK/AL,IJK/GL,1,True,True,True,True,True,True,True,True
